movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20160261,극장판 프리파라 모두 모여라! 프리즘☆투어즈,"PriPara the Movie: Everyone, Assemble! Prism ☆ Tours",劇場版プリパラ みーんなあつまれ！プリズム☆ツアーズ,88,2016,20161013,개봉,장편,,,,애니메이션,한국,히시다 마사카즈,,동우에이앤이(주),동우에이앤이(주)|(주)박수엔터테인먼트
20158242,무서운 이야기 3 : 화성에서 온 소녀,Horror Stories III,,93,2016,20160601,개봉,옴니버스,,,,공포(호러),한국,민규동|김곡|김선|백승빈,임슬옹|경수진|박정민|홍은희|차지연,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트
20158241,픽셀,Pixels,,105,2015,20150716,개봉,장편,,,,액션|어드벤처,미국,크리스 콜럼버스,아담 샌들러|케빈 제임스|미셸 모나한|피터 딘클리지|애슐리 벤슨,,유니버설픽쳐스인터내셔널 코리아(유)
20157501,극적인 하룻밤,LOVE GUIDE FOR DUMPEES,,107,2015,20151203,개봉,장편,,,,멜로/로맨스|코미디,한국,하기호,윤계상|한예리|박효주|조복래|박병은,(주)연우무대|(주)인사이드픽쳐스,CGV아트하우스
20161605,언더월드: 블러드 워,Underworld: Blood Wars,,91,2016,20161130,개봉,장편,,,,액션|판타지|공포(호러),미국,안나 포에스터,케이트 베킨세일|테오 제임스|찰스 댄스|알리시아 벨라 베일리,,유니버설픽쳐스인터내셔널 코리아(유)
20156904,추억의 마니,When Marnie Was There,思い出のマーニー,102,2014,20150319,개봉,장편,,,,애니메이션,일본,요네바야시 히로마사,,,(주)이수C&E
20145521,엑스 마키나,Ex Machina,,108,2014,20150121,개봉,장편,,,,SF|스릴러,미국,알렉스 가랜드,도널 글리슨|알리시아 비칸데르|오스카 아이삭,,유니버설픽쳐스인터내셔널 코리아(유)
20152869,갤로우즈,The Gallows,,80,2015,20150903,개봉,장편,,,,공포(호러),미국,트래비스 클러프|크리스 로핑,캐시디 지포드|파이퍼 브라운|리즈 미슬러|라이언 슈스|트래비스 클러프,,워너브러더스 코리아(주)
20168361,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,OCTONAUTS Season4,,57,2016,20160928,개봉,장편,,,,애니메이션,영국,다라 오코넬,,,와이드 릴리즈(주)
20151481,헝거게임: 더 파이널,The Hunger Games: Mockingjay - Part 2,,136,2015,20151118,개봉,장편,,,,액션|어드벤처,미국,프란시스 로렌스,제니퍼 로렌스|조쉬 허처슨|리암 헴스워스|필립 세이모어 호프만|줄리안 무어,라이온스 게이트 필름즈,롯데쇼핑㈜롯데엔터테인먼트
20156564,부산행,TRAIN TO BUSAN,,118,2016,20160720,개봉,장편,,,,액션|스릴러,한국,연상호,공유|정유미|마동석|김수안|최우식,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW)
20140144,도리화가,THE SOUND OF A FLOWER,,109,2015,20151125,개봉,장편,,,,사극|드라마,한국,이종필,류승룡|배수지|송새벽|김남길|이동휘,(주)영화사 담담|(주)어바웃잇,(주)씨제이이엔엠
