movieCd,movieNm_box,rank,rankInten,rankOldAndNew,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,showRange,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20192567,원더 우먼 1984,1,0,OLD,38218580,30.0,-4347850,-10.2,4320831460,4190,-517,-11.0,480972,1021,1635,2021-01-07,,원더 우먼 1984,Wonder Woman 1984,,150,2020,20201223,개봉,장편,,,,액션|어드벤처,미국,팻티 젠킨스,갤 가돗|크리스 파인|크리스틴 위그|페드로 파스칼|코니 닐슨,,워너브러더스 코리아(주)
20040725,화양연화,2,1,OLD,15745710,12.4,-456490,-2.8,567856500,1805,-8,-0.4,66767,315,483,2021-01-07,,화양연화,In The Mood For Love,花樣年華,98,2000,20001020,개봉,장편,,,,드라마|멜로/로맨스,홍콩|프랑스,왕가위,장만옥|양조위,,(주)디스테이션
20206547,극장판 바이올렛 에버가든,3,21,OLD,6299950,4.9,5743100,1031.4,484044810,790,727,1154.0,56943,47,49,2021-01-07,,극장판 바이올렛 에버가든,Violet Evergarden: The Movie,劇場版　ヴァイオレット・エヴァーガーデン,139,2020,20201112,개봉,장편,,,,애니메이션|드라마|판타지,일본,이시다테 타이치,,,(주)라이크콘텐츠
20200512,미스터 존스,4,0,NEW,6304570,5.0,6304570,100.0,6732570,775,775,100.0,825,229,277,2021-01-07,,미스터 존스,Mr. Jones,,118,2019,20210107,개봉,장편,,,,드라마|스릴러,폴란드,아그네츠카 홀란드,제임스 노턴|바네사 커비|피터 사스가드,,(주)디오시네마
20202931,완벽한 가족,5,-1,OLD,5964740,4.7,-4702080,-44.1,17334060,708,-578,-44.9,2062,233,296,2021-01-07,,완벽한 가족,Blackbird,,98,2019,20210106,개봉,장편,,,,드라마,미국,로저 미첼,수잔 서랜든|케이트 윈슬렛|미아 와시코브스카|샘 닐,,(주)제이앤씨미디어그룹
20201002,조제,6,-4,OLD,5717000,4.5,-16202870,-73.9,1797134530,624,-1852,-74.8,200618,206,254,2021-01-07,,조제,Josée,,116,2020,20201210,개봉,장편,,,,멜로/로맨스|드라마,한국,김종관,한지민|남주혁|허진|박예진|조복래,볼미디어(주) ,워너브러더스 코리아(주)
20192193,도굴,7,-2,OLD,5524360,4.3,-1491870,-21.3,13855474990,621,-161,-20.6,1533830,192,219,2021-01-07,,도굴,Collectors,,114,2020,20201104,개봉,장편,,,,범죄,한국,박정배,이제훈|조우진|신혜선|임원희,(주)싸이런픽쳐스,(주)씨제이이엔엠
20202703,뱅가드,8,-2,OLD,5472100,4.3,-843400,-13.4,211922600,620,-139,-18.3,25573,150,254,2021-01-07,,뱅가드,Vanguard,急先锋,107,2020,20201230,개봉,장편,,,,액션,중국,당계례,성룡|양양,,(주)디스테이션
20182674,걸,9,0,NEW,5188780,4.1,5188780,100.0,7338780,581,581,100.0,796,221,266,2021-01-07,,걸,Girl,,105,2018,20210107,개봉,장편,,,,드라마,독일,루카스 돈트,,,(주)리틀빅픽쳐스
20202203,에이바,10,0,NEW,2000000,1.6,2000000,100.0,187099250,400,400,100.0,24517,3,3,2021-01-07,,에이바,Ava,,97,2020,20200909,개봉,장편,,,,액션|범죄|드라마,미국,테이트 테일러,제시카 차스테인|콜린 파렐|존 말코비치,,(주)제이앤씨미디어그룹
20192567,원더 우먼 1984,1,0,OLD,44622280,32.7,6403700,16.8,4365453740,4651,461,11.0,485623,1056,1712,2021-01-08,,원더 우먼 1984,Wonder Woman 1984,,150,2020,20201223,개봉,장편,,,,액션|어드벤처,미국,팻티 젠킨스,갤 가돗|크리스 파인|크리스틴 위그|페드로 파스칼|코니 닐슨,,워너브러더스 코리아(주)
20040725,화양연화,2,0,OLD,17015170,12.5,1269460,8.1,584871670,1787,-18,-1.0,68554,363,545,2021-01-08,,화양연화,In The Mood For Love,花樣年華,98,2000,20001020,개봉,장편,,,,드라마|멜로/로맨스,홍콩|프랑스,왕가위,장만옥|양조위,,(주)디스테이션
20200512,미스터 존스,3,1,OLD,7862510,5.8,1557940,24.7,14595080,881,106,13.7,1706,229,278,2021-01-08,,미스터 존스,Mr. Jones,,118,2019,20210107,개봉,장편,,,,드라마|스릴러,폴란드,아그네츠카 홀란드,제임스 노턴|바네사 커비|피터 사스가드,,(주)디오시네마
20202931,완벽한 가족,4,1,OLD,6635280,4.9,670540,11.2,23969340,735,27,3.8,2797,240,300,2021-01-08,,완벽한 가족,Blackbird,,98,2019,20210106,개봉,장편,,,,드라마,미국,로저 미첼,수잔 서랜든|케이트 윈슬렛|미아 와시코브스카|샘 닐,,(주)제이앤씨미디어그룹
20201002,조제,5,1,OLD,6773730,5.0,1056730,18.5,1803908260,708,84,13.5,201326,233,287,2021-01-08,,조제,Josée,,116,2020,20201210,개봉,장편,,,,멜로/로맨스|드라마,한국,김종관,한지민|남주혁|허진|박예진|조복래,볼미디어(주) ,워너브러더스 코리아(주)
20192193,도굴,6,1,OLD,5916520,4.3,392160,7.1,13861391510,634,13,2.1,1534464,169,199,2021-01-08,,도굴,Collectors,,114,2020,20201104,개봉,장편,,,,범죄,한국,박정배,이제훈|조우진|신혜선|임원희,(주)싸이런픽쳐스,(주)씨제이이엔엠
20202703,뱅가드,7,1,OLD,5339600,3.9,-132500,-2.4,217262200,582,-38,-6.1,26155,152,250,2021-01-08,,뱅가드,Vanguard,急先锋,107,2020,20201230,개봉,장편,,,,액션,중국,당계례,성룡|양양,,(주)디스테이션
20182674,걸,8,1,OLD,5045120,3.7,-143660,-2.8,12383900,547,-34,-5.9,1343,198,230,2021-01-08,,걸,Girl,,105,2018,20210107,개봉,장편,,,,드라마,독일,루카스 돈트,,,(주)리틀빅픽쳐스
20202366,800,9,3,OLD,2655000,1.9,844000,46.6,140511500,519,181,53.6,16489,7,7,2021-01-08,,800,The Eight Hundred,Ba Bai,148,2020,20201210,개봉,장편,,,,전쟁|액션,중국,관후,강무,,TCO(주)더콘텐츠온|(주)디스테이션
20202130,빅풋 주니어2: 패밀리가 떴다,10,1,OLD,4382900,3.2,1204100,37.9,41427060,494,97,24.4,5057,158,165,2021-01-08,,빅풋 주니어2: 패밀리가 떴다,Bigfoot Family,,85,2020,20210106,개봉,장편,,,,애니메이션,기타,벤 스타센|제레미 드그루손,,,(주)이수C&E
20192567,원더 우먼 1984,1,0,OLD,109415960,34.4,64793680,145.2,4474869700,11275,6624,142.4,496898,1247,2386,2021-01-09,,원더 우먼 1984,Wonder Woman 1984,,150,2020,20201223,개봉,장편,,,,액션|어드벤처,미국,팻티 젠킨스,갤 가돗|크리스 파인|크리스틴 위그|페드로 파스칼|코니 닐슨,,워너브러더스 코리아(주)
20040725,화양연화,2,0,OLD,37998530,12.0,20983360,123.3,622870200,3968,2181,122.0,72522,447,726,2021-01-09,,화양연화,In The Mood For Love,花樣年華,98,2000,20001020,개봉,장편,,,,드라마|멜로/로맨스,홍콩|프랑스,왕가위,장만옥|양조위,,(주)디스테이션
