movieInfo,movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,nations,nation,nationNm,genres,genre,genreNm,directors,director,peopleNm,peopleNmEn,actors,actor,cast,castEn,showTypes,showType,showTypeGroupNm,showTypeNm,companys,company,companyCd,companyNm,companyNmEn,companyPartNm,audits,audit,auditNo,watchGradeNm,staffs,staff,staffRoleNm,error
,20113252,톰보이,Tomboy,,81,2011,20200514,개봉,장편,,,프랑스,,,드라마,,,조 허란,Zoe Heran,,,,,,,2D,디지털,,,20203621,(주)헤이데이필름컴퍼니,HEYDAY FILM COMPANY,제공,,,2020-MF00781,12세이상관람가,,,,
,20128386,라이프 오브 파이,Life of Pi,,126,2012,20130101,개봉,장편,,,미국,,,드라마,,,라프 스팰,Rafe Spall,,,,,,,IMAX,IMAX 3D,,,20100041,이십세기폭스코리아(주),20th Century Fox Korea,수입사,,,2018-MF00499,전체관람가,,,,
,20124315,엔드 오브 에반게리온,The End Of Evangelion,新世紀エヴァンゲリオン劇場版Air/まごころを、君に,86,1997,20240117,개봉,장편,,,일본,,,애니메이션,,,츠루마키 카즈야,Kazuya Tsurumaki,,,,,,,2D,디지털,,,20060029,미라지엔터테인먼트,,수입사,,,2023-MF03346 ,청소년관람불가,,,,
,20128274,레미제라블,Les Miserables,,158,2012,20121219,개봉,장편,,,미국,,,드라마,,,카메론 맥킨토시,Cameron Mackintosh,,,,,,,DOLBYCINEMA,DOLBYCINEMA,,,20100603,유니버설픽쳐스인터내셔널 코리아(유),Universal Pictures International Korea,수입사,,,2012-F925 ,12세이상관람가,,,제작,
,20128588,"그 시절, 우리가 좋아했던 소녀",You Are the Apple of My Eye,那些年，我們一起追的女孩,107,2011,20120822,개봉,장편,,,대만,,,멜로/로맨스,,,구파도,Giddens Ko,,,,,,,2D,디지털,,,20103809,(주)미로비젼,Mirovision Inc. ,제공,,,2012-F476,15세이상관람가,,,원작,
,20130021,"협녀, 칼의 기억",Memories of the Sword,,120,2015,20150813,개봉,장편,,,한국,,,액션,,,강동억,GANG Dong-eok,,,유백친위대,,,,2D,디지털,,,20100520,롯데쇼핑㈜롯데엔터테인먼트,"Lotte shopping Lotte Entertainment Co.,Ltd",해외세일즈사,,,2015-MF00827 ,15세이상관람가,,,VFX 아티스트,
,20133682,화장,Revivre,,93,2014,20150409,개봉,장편,,,한국,,,드라마,,,이은,LEE Eun,,,신문기자,,,,2D,디지털,,,20111141,디지털 아이디어,Digital IDEA,제작서비스-후반작업,,,2015-MF00181,청소년관람불가,,,기획,
,20131262,허삼관,Chronicle of a Blood Merchant,,123,2014,20150114,개봉,장편,,,한국,,,드라마,,,이동근,LEE Dong-keun,,,동대문 제일병원 경비원 2,,,,2D,디지털 중국어자막,,,20142968,(주)콘텐츠판다,CONTENTS PANDA,해외세일즈사,,,2014-MF01387 ,12세이상관람가,,,예고편,
,20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,,ポケットモンスタ- ダイヤモンド パ-ル ディアルガVSパルキアVSダ-クライ,90,2018,20180606,개봉,장편,,,일본,,,애니메이션,,,문남숙,MOON Nam-sook,,,마자용 한국어 목소리,,,,4D,4D 더빙,,,20062956,(주)포켓몬코리아,,수입사,,,2018-MF00927,전체관람가,,,,
,20133681,태양을 쏴라,Heartbreak Hotel,,86,2014,20150319,개봉,장편,,,한국,,,멜로/로맨스,,,김민철,KIM Min-chul,,,블랙갱2,,,,2D,디지털,,,20138995,(주)에이블엔터테인먼트,ABLE ENTERTAINMENT,제공,,,2015-MF00226 ,청소년관람불가,,,VFX 슈퍼바이저,
,20134798,연평해전,Northern Limit Line,,130,2015,20150624,개봉,장편,,,한국,,,드라마,,,김민선,,,,전대장 ,,,,3D,3D 디지털,,,20242764,한국시각장애인연합회,,가치봄 제작처,,,2015-MF00591 ,12세이상관람가,,,VFX 아티스트,
