title,release_date,imdb_id,tmdb_id,overview,directors,cast_top5,genres,production_companies,production_countries
Doctor Strange,2016-10-25,tt1211837,284052,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen","Action, Adventure, Fantasy",Marvel Studios,US
Thor: Ragnarok,2017-10-02,tt3501632,284053,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",Taika Waititi,"Chris Hemsworth, Mark Ruffalo, Tom Hiddleston, Cate Blanchett, Idris Elba","Action, Adventure, Science Fiction",Marvel Studios,US
Black Panther,2018-02-13,tt1825683,284054,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman","Action, Adventure, Science Fiction",Marvel Studios,US
The Walk,2015-09-30,tt3488710,285783,The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974.,Robert Zemeckis,"Joseph Gordon-Levitt, Ben Kingsley, Charlotte Le Bon, James Badge Dale, Clément Sibony","History, Drama, Adventure","TriStar Pictures, LStar Capital, ImageMovers",US
The Martian,2015-09-30,tt3659388,286217,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels, Michael Peña","Drama, Adventure, Science Fiction","Genre Films, TSG Entertainment, 20th Century Fox, Scott Free Productions",US
Shazam!,2019-03-29,tt0448115,287947,A boy is given the ability to become an adult superhero in times of need with a single magic word.,David F. Sandberg,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer, Adam Brody","Action, Comedy, Fantasy","New Line Cinema, The Safran Company, Seven Bucks Productions, DC Films",US
The Transporter Refueled,2015-09-02,tt2938956,287948,"The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this installment, he meets Anna and they attempt to take down a group of ruthless Russian human traffickers who also have kidnapped Frank’s father.",Camille Delamarre,"Ed Skrein, Ray Stevenson, Loan Chabanol, Gabriella Wright, Tatiana Pajković","Action, Thriller, Crime","EuropaCorp, TF1 Films Production, Fundamental Films, Canal+, OCS, TF1, TMC, Belga Films, Belga Productions","BE, CN, FR"
Sleeping with Other People,2015-06-26,tt3165612,288036,"Can two serial cheaters get a second chance at love? After a one-night stand in college, New Yorkers Lainey and Jake meet by chance twelve years later and discover they each have the same problem: because of their monogamy-challenged ways, neither can maintain a relationship. Determined to stay friends despite their mutual attraction, they make a pact to keep it platonic, a deal that proves easier said than done.",Leslye Headland,"Jason Sudeikis, Alison Brie, Adam Scott, Jason Mantzoukas, Natasha Lyonne","Comedy, Romance","Sidney Kimmel Entertainment, IM Global, Gloria Sanchez Productions",US
The Zookeeper's Wife,2017-03-24,tt1730768,289222,"The account of keepers of the Warsaw Zoo, Jan and Antonina Zabinski, who helped save hundreds of people and animals during the Nazi invasion.",Niki Caro,"Jessica Chastain, Daniel Brühl, Johan Heldenbergh, Michael McElhatton, Timothy Radford","Drama, History, War","Scion Films, Czech Anglo Pictures, Focus Features, Electric City Entertainment, Mike Tollin Productions, Sierra/Affinity, MadRiver Pictures","CZ, GB, US"
The Handmaiden,2016-06-01,tt4016934,290098,"1930s Korea, in the period of Japanese occupation, a new girl, Sookee, is hired as a handmaiden to a Japanese heiress, Hideko, who lives a secluded life on a large countryside estate with her domineering Uncle Kouzuki. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions.",Park Chan-wook,"Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Kim Hae-sook","Thriller, Drama, Romance","Moho Film, Yong Film, CJ Entertainment",KR
Tracers,2015-01-15,tt2401097,290764,"Wanted by the mafia, a New York City bike messenger escapes into the world of parkour after meeting a beautiful stranger.",Daniel Benmayor,"Taylor Lautner, Marie Avgeropoulos, Adam Rayner, Rafi Gavron, Sam Medina",Action,"Cowtown Cinema Ventures, Temple Hill Entertainment",US
Terminator: Dark Fate,2019-10-23,tt6450804,290859,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.",Tim Miller,"Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes, Gabriel Luna","Science Fiction, Action, Adventure, Thriller","20th Century Fox, Skydance Media, Paramount Pictures, Tencent Pictures, TSG Entertainment, Lightstorm Entertainment, Iberdrola, Mid Atlantic Films","CN, HU, ES, US"
The Sea of Trees,2016-04-27,tt3450900,291351,"In Japan's Aokigahara Forest, a troubled teacher meets a mysterious lost stranger who takes him on a life-changing journey of love and redemption.",Gus Van Sant,"Matthew McConaughey, Naomi Watts, Ken Watanabe, Ryoko Seta, Sienna Tow",Drama,"Waypoint Entertainment, Bloom, Netter Productions",US
Assassination,2015-07-22,tt3501416,291549,"In Japanese-occupied Korea, three freedom fighters are assigned a mission to assassinate a genocidal military leader and his top collaborator. But the plan goes completely awry amidst double-crossings, counter-assassinations, and a shocking revelation about one of the assassins' past.",Choi Dong-hoon,"Gianna Jun, Ha Jung-woo, Lee Jung-jae, Oh Dal-su, Cho Jin-woong","Action, Thriller, Drama","Caper Film, Showbox",KR
Kong: Skull Island,2017-03-08,tt3731562,293167,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, John Goodman, Brie Larson, Jing Tian","Action, Adventure, Fantasy","Legendary Pictures, Tencent Pictures","CN, US"
Inside Men,2015-11-19,tt3779028,293413,A disgruntled henchman teams up with an ambitious prosecutor to bring down a leading presidential candidate and the news editor behind him who is truly pulling the strings.,Woo Min-ho,"Lee Byung-hun, Cho Seung-woo, Baek Yoon-sik, Lee Kyung-young, Kim Hong-pa","Crime, Drama","Hive Media Corp, Showbox",KR
Deadpool,2016-02-09,tt1431045,293660,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",Tim Miller,"Ryan Reynolds, Morena Baccarin, Ed Skrein, T.J. Miller, Gina Carano","Action, Adventure, Comedy","20th Century Fox, The Donners' Company, Genre Films, Marvel Entertainment",US
The Wailing,2016-05-12,tt5215952,293670,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,Na Hong-jin,"Kwak Do-won, Hwang Jung-min, Chun Woo-hee, Jun Kunimura, Kim Hwan-hee","Horror, Mystery","Fox International Productions, Ivanhoe Pictures, Side Mirror, 20th Century Fox Korea","KR, US"
Kidnap,2017-08-03,tt1458169,293768,A mother (in her Minivan) stops at nothing to recover her kidnapped son.,Luis Prieto,"Halle Berry, Sage Correa, Chris McGinn, Lew Temple, Jason George","Action, Thriller","Ingenious Media, di Bonaventura Pictures, Gold Star Films, Lotus Entertainment, 606 Films, Well Go USA Entertainment, Rumble Entertainment","GB, US"
The Age of Adaline,2015-04-16,tt1655441,293863,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",Lee Toland Krieger,"Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn, Kathy Baker","Romance, Fantasy, Drama","Lakeshore Entertainment, Sidney Kimmel Entertainment, Lionsgate",US
Maze Runner: The Scorch Trials,2015-09-09,tt4046784,294254,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",Wes Ball,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Giancarlo Esposito, Ki Hong Lee","Science Fiction, Action, Thriller, Adventure","Temple Hill Entertainment, The Gotham Group, TSG Entertainment, 20th Century Fox",US
The Boss Baby,2017-03-23,tt3874544,295693,"A story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim.",Tom McGrath,"Alec Baldwin, Steve Buscemi, Miles Bakshi, Jimmy Kimmel, Lisa Kudrow","Animation, Comedy, Family",DreamWorks Animation,US
Burnt,2015-10-02,tt2503944,295964,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",John Wells,"Bradley Cooper, Sienna Miller, Omar Sy, Daniel Brühl, Riccardo Scamarcio",Drama,"3 Arts Entertainment, Battle Mountain Films, Shiny Penny Productions",US
Bridge of Spies,2015-10-15,tt3682448,296098,"During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.",Steven Spielberg,"Tom Hanks, Mark Rylance, Amy Ryan, Alan Alda, Sebastian Koch","Thriller, Drama","TSG Entertainment, Amblin Entertainment, Studio Babelsberg, Fox 2000 Pictures, Marc Platt Productions, Participant, Reliance Entertainment, DreamWorks Pictures","IN, US, DE"
Deepwater Horizon,2016-09-28,tt1860357,296524,"A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history.",Peter Berg,"Mark Wahlberg, Kurt Russell, John Malkovich, Gina Rodriguez, Dylan O'Brien","Drama, Action","Summit Entertainment, Participant, di Bonaventura Pictures, Closest to the Hole Productions, Leverage Entertainment, TIK Films, Lionsgate","HK, US"
Psycho-Pass: The Movie,2015-01-09,tt4219130,296917,"Year 2116—The Japanese government begins to export the Sibyl System unmanned drone robots to troubled countries, and the system spreads throughout the world. A state in the midst of a civil war, SEAUn (the South East Asia Union), brings in the Sibyl System as an experiment. Under the new system, the coastal town of Shambala Float achieves temporary peace and safety. But then SEAUn sends terrorists to Japan. They slip through the Sibyl System and then attack from within. The shadow of a certain man falls on this incident. In charge of the police, Tsunemori travels to Shambala Float to investigate. The truth of justice on this new ground will become clear.","Naoyoshi Shiotani, Katsuyuki Motohiro","Kana Hanazawa, Tomokazu Seki, Kenji Nojima, Ayane Sakura, Takahiro Sakurai","Animation, Science Fiction, Action","Production I.G, Fuji Television Network, TOHO, Sony Music Entertainment, Kyoraku Industrial Holdings, dentsu, Nitroplus",JP
Gangnam Blues,2015-01-21,tt3698118,297721,"Jong-dae and Yong-ki make a living by picking up paper and empty bottles. Both then join different gangster clan and becomes involved in a struggle of political interests over development in Gangnam, Seoul.",Yoo Ha,"Lee Min-ho, Kim Rae-won, Jung Jin-young, Kim Ji-soo, Kim Seol-hyun","Action, Crime, Thriller",Showbox,KR
Wonder Woman,2017-05-30,tt0451279,297762,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright, Danny Huston","Action, Adventure, Fantasy","Atlas Entertainment, Cruel & Unusual Films, DC Films",US
Aquaman,2018-12-07,tt1477834,297802,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.",James Wan,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Nicole Kidman","Action, Adventure, Fantasy","Warner Bros. Pictures, The Safran Company, DC Films",US
Jigsaw,2017-10-25,tt3348730,298250,"Law enforcement finds itself chasing the ghost of a man dead for over a decade, embroiled in a diabolical new game that's only just begun.","Michael Spierig, Peter Spierig","Matt Passmore, Tobin Bell, Callum Keith Rennie, Hannah Emily Anderson, Clé Bennett","Horror, Mystery","Twisted Pictures, A Bigger Boat, Serendipity Productions, Lionsgate",US
The Flash,2023-06-13,tt0439572,298618,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",Andy Muschietti,"Ezra Miller, Sasha Calle, Michael Keaton, Michael Shannon, Ron Livingston","Adventure, Action, Science Fiction","Warner Bros. Pictures, Double Dream, The Disco Factory, DC Films",US
Expend4bles,2023-09-15,tt3291150,299054,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",Scott Waugh,"Jason Statham, 50 Cent, Megan Fox, Dolph Lundgren, Tony Jaa","Action, Adventure, Thriller","Millennium Media, Campbell Grobman Films, Lionsgate, Nu Boyana Film Studios, Templeton Media, Davis Films, Media Capital Technologies","BG, FR, US"
The Gallows,2015-07-09,tt2309260,299245,"20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.","Travis Cluff, Chris Lofing","Cassidy Gifford, Ryan Shoos, Pfeifer Brown, Reese Mishler, Price T. Morgan","Horror, Thriller","Tremendum Pictures, New Line Cinema, Blumhouse Productions, Management 360, Warner Bros. Pictures",US
Avengers: Endgame,2019-04-24,tt4154796,299534,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson","Adventure, Science Fiction, Action",Marvel Studios,US
Avengers: Infinity War,2018-04-25,tt4154756,299536,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","Joe Russo, Anthony Russo","Robert Downey Jr., Chris Evans, Chris Hemsworth, Josh Brolin, Mark Ruffalo","Adventure, Action, Science Fiction",Marvel Studios,US
Captain Marvel,2019-03-06,tt4154664,299537,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.","Ryan Fleck, Anna Boden","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law, Annette Bening","Action, Adventure, Science Fiction",Marvel Studios,US
Don't Breathe,2016-06-08,tt4160708,300669,A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.,Fede Álvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto, Emma Bercovici","Horror, Thriller","Screen Gems, Stage 6 Films, Ghost House Pictures",US
Replicas,2018-10-25,tt4154916,300681,A scientist becomes obsessed with returning his family to normalcy after a terrible accident.,Jeffrey Nachmanoff,"Keanu Reeves, Alice Eve, Thomas Middleditch, John Ortiz, Nyasha Hatendi","Science Fiction, Thriller, Drama","di Bonaventura Pictures, Company Films, Ocean Park Entertainment, Riverstone Pictures, Fundamental Films, Lotus Entertainment, Remstar Productions","CA, CN, PR, GB, US"
Downsizing,2017-12-22,tt1389072,301337,A kindly occupational therapist undergoes a new procedure to be shrunken to four inches tall so that he and his wife can help save the planet and afford a nice lifestyle at the same time.,Alexander Payne,"Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig, Rolf Lassgård","Drama, Science Fiction, Comedy","Paramount Pictures, Ad Hominem Enterprises, Gran Via Productions, Annapurna Pictures",US
The Accountant,2016-10-13,tt2140479,302946,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",Gavin O'Connor,"Ben Affleck, Cynthia Addai-Robinson, Anna Kendrick, J.K. Simmons, Jon Bernthal","Crime, Thriller, Drama","Zero Gravity Management, Electric City Entertainment, RatPac Entertainment, Warner Bros. Pictures",US
Southpaw,2015-03-24,tt1798684,307081,"Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most.",Antoine Fuqua,"Jake Gyllenhaal, Rachel McAdams, Forest Whitaker, Oona Laurence, 50 Cent","Action, Drama","Fuqua Films, Escape Artists, Riche-Ludwig Productions, Wanda Pictures",US
The Case of Hana & Alice,2015-02-20,tt4125300,311054,A Japanese girl struggling to fit in at her new school teams up with a reclusive neighbor to find out what happened to an upperclassman who disappeared under mysterious circumstances.,Shunji Iwai,"Yu Aoi, Anne Suzuki, Ryo Katsuji, Haru Kuroki, Tae Kimura","Animation, Comedy, Mystery","Steve N'Steven, CoMix Wave Films, Production I.G",JP
The Great Wall,2016-12-16,tt2034800,311324,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,Zhang Yimou,"Matt Damon, Jing Tian, Willem Dafoe, Andy Lau, Pedro Pascal","Action, Adventure, Fantasy","Legendary East, Universal Pictures, Atlas Entertainment, Le Vision Pictures, Kava Productions, China Film Group Corporation, dentsu, Fuji Television Network, Legendary Pictures, Taurus Film","CN, JP, US"
Maggie's Plan,2016-04-27,tt3471098,312669,"Maggie's plan to have a baby on her own with a sperm donor is derailed when she falls in love with John, an older married professor, destroying his volatile marriage to the brilliant and impossible Georgette. But three years later, married to John with one daughter, Maggie is out of love and in a quandary: what do you do when you suspect your man and his ex-wife are actually perfect for each other?",Rebecca Miller,"Greta Gerwig, Ethan Hawke, Julianne Moore, Bill Hader, Maya Rudolph","Drama, Romance","Round Films, Rachael Horovitz Productions, Freedom Media, Locomotive, Hyperion Media Group, Franklin Street",US
Kubo and the Two Strings,2016-08-18,tt4302938,313297,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.",Travis Knight,"Art Parkinson, Charlize Theron, Brenda Vaccaro, Cary-Hiroyuki Tagawa, Meyrick Murphy","Animation, Adventure, Family",Laika,US
La La Land,2016-12-01,tt3783958,313369,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt, J.K. Simmons","Comedy, Drama, Romance, Music","Summit Entertainment, Gilbert Films, Impostor Pictures, Marc Platt Productions",US
The Lost City of Z,2017-03-15,tt1212428,314095,"A true-life drama in the 1920s, centering on British explorer Col. Percy Fawcett, who discovered evidence of a previously unknown, advanced civilization in the Amazon and disappeared whilst searching for it.",James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland, Angus Macfadyen","Adventure, Drama, History","Northern Ireland Screen, Plan B Entertainment, Sierra/Affinity, MICA Entertainment, MadRiver Pictures, Keep Your Head Productions","GB, US"
Animal Crackers,2017-06-23,tt4155534,315064,A family must use a magical box of Animal Crackers to save a rundown circus from being taken over by their evil uncle Horatio P. Huntington.,"Tony Bancroft, Scott Christian Sava, Jaime Maestro","Emily Blunt, John Krasinski, Lydia Rose Taylor, Ian McKellen, Sylvester Stallone","Comedy, Animation, Adventure, Family","Blue Dream Studios, Beijing Wen Hua Dong Run Investment, China Film Group Corporation, Odin's Eye Entertainment, Landmark Asia Holdings, Generalitat Valenciana","AU, CN, KR, ES, US"
Puss in Boots: The Last Wish,2022-12-07,tt3915174,315162,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",Joel Crawford,"Antonio Banderas, Salma Hayek Pinault, Harvey Guillén, Wagner Moura, Florence Pugh","Animation, Adventure, Fantasy, Comedy, Family",DreamWorks Animation,US
The Throne,2015-09-16,tt4010918,315439,"Ancient Korea, July 4, 1762. The Crown Prince Hyojang, posthumously named Sado, son of King Yeongjo of Joseon, is accused of treason. Thus, the king asks him to commit suicide, but his closest vassals prevent it, so the king orders the prince to get inside a wooden rice chest, where he suffers deprivation of food and water.",Lee Joon-ik,"Yoo Ah-in, Song Kang-ho, Lee Hyo-je, So Ji-sub, Moon Geun-young","Drama, History",Tiger Pictures,KR
The Boy and the Beast,2015-07-11,tt4272866,315465,"Kyuta, a boy living in Shibuya, and Kumatetsu, a lonesome beast from Jutengai, an imaginary world. One day, Kyuta forays into the imaginary world and, as he's looking for his way back, meets Kumatetsu who becomes his spirit guide. That encounter leads them to many adventures.",Mamoru Hosoda,"Koji Yakusho, Aoi Miyazaki, Shota Sometani, Suzu Hirose, Lily Franky","Action, Adventure, Animation, Drama, Family, Fantasy","Nippon Television Network Corporation, Studio Chizu, TOHO, VAP, dentsu, Yomiuri Telecasting Corporation, D.N. Dream Partners, Sapporo Television Broadcasting Company, Miyagi Television Broadcasting, Shizuoka Daiichi Television, Hiroshima Telecasting, Fukuoka Broadcasting System, KADOKAWA, Chukyo TV Broadcasting Company",JP
Ghost in the Shell,2017-03-29,tt1219827,315837,"In the near future, Major is the first of her kind: a human saved from a terrible crash, then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",Rupert Sanders,"Scarlett Johansson, Takeshi Kitano, Michael Pitt, Pilou Asbæk, Chin Han","Science Fiction, Drama, Action","Weying Galaxy Entertainment, Paramount Pictures, Shanghai Film Group, Reliance Entertainment, Grosvenor Park Productions, Steven Paul Production, Huahua Media, Seaside Entertainment, DreamWorks Pictures, Arad Productions","CN, HK, IN, US"
The Greatest Showman,2017-12-20,tt1485796,316029,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",Michael Gracey,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, Zendaya",Drama,"Chernin Entertainment, 20th Century Fox, TSG Entertainment",US
Case Closed: Sunflowers of Inferno,2015-04-18,tt3737650,316873,"Conan tries to track down Kaito Kid, who supposedly steals a replica of one of Van Gogh's Sunflowers paintings during an auction.",Kobun Shizuno,"Minami Takayama, Kappei Yamaguchi, Wakana Yamazaki, Rikiya Koyama, Kenichi Ogata","Animation, Crime, Adventure, Mystery","TMS Entertainment, TOHO, Shogakukan, Yomiuri Telecasting Corporation, Nippon Television Network Corporation, V1 studio, Shogakukan-Shueisha Productions",JP
Dark Phoenix,2019-06-05,tt6565702,320288,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.",Simon Kinberg,"Sophie Turner, James McAvoy, Nicholas Hoult, Tye Sheridan, Michael Fassbender","Science Fiction, Action, Adventure","Genre Films, Hutch Parker Entertainment, 20th Century Fox, TSG Entertainment, Marvel Entertainment",US
The Boy,2016-01-22,tt3882082,321258,"A young American woman takes a job as a nanny in a remote English village, soon discovering that the family's eight-year-old son is a life-sized doll that comes with a list of strict rules.",William Brent Bell,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton, Diana Hardcastle","Horror, Mystery, Thriller","Lakeshore Entertainment, Vertigo Entertainment, STXfilms",US
Beauty and the Beast,2017-03-16,tt2771200,321612,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad, Kevin Kline","Family, Fantasy, Romance","Walt Disney Pictures, Mandeville Films",US
Spark: A Space Tail,2016-04-22,tt3228088,322487,"Spark, a teenage monkey and his friends, Chunk and Vix, are on a mission to regain Planet Bana - a kingdom overtaken by the evil overlord Zhong.",Aaron Woodley,"Jessica Biel, Hilary Swank, Susan Sarandon, Jace Norman, Patrick Stewart","Adventure, Animation, Comedy, Family, Science Fiction","Shanghai Hoongman Technology Co., GulfStream Pictures, Redrover, ToonBox Entertainment, Suning Global Media","CA, KR"
John Wick: Chapter 2,2017-02-08,tt4425200,324552,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",Chad Stahelski,"Keanu Reeves, Common, Ian McShane, Laurence Fishburne, Riccardo Scamarcio","Action, Thriller, Crime","Thunder Road, 87Eleven, Summit Entertainment",US
Hacksaw Ridge,2016-10-07,tt2119532,324786,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",Mel Gibson,"Andrew Garfield, Sam Worthington, Vince Vaughn, Teresa Palmer, Luke Bracey","Drama, History, War","Summit Entertainment, Pandemonium, Cross Creek Pictures, Permut Presentations, Vendian Entertainment, Argent Pictures, IM Global, AI Film, Bliss Media, Kylin Pictures, Cosmos Filmed Entertainment, Icon Productions","AU, GB, US, CN"
The Lego Batman Movie,2017-02-08,tt4116284,324849,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",Chris McKay,"Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes, Zach Galifianakis","Animation, Action, Comedy, Family","Lin Pictures, Animal Logic, DC Entertainment, Lord Miller, Warner Bros. Pictures, LEGO, Warner Animation Group, RatPac Entertainment","AU, DK, US"
Spider-Man: Into the Spider-Verse,2018-12-06,tt4633694,324857,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.","Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry","Animation, Action, Adventure, Science Fiction","Columbia Pictures, Lord Miller, Pascal Pictures, Sony Pictures Animation, Arad Productions, Marvel Entertainment",US
