movieCd,salesAcc,audiAcc,movieNm_box,actors,directors,genres,nations,repNationNm,productionCompanies
20235854,281624290,30358,덤 머니,폴 다노|세스 로건|아메리카 페레라|쉐일린 우들리,크레이그 질레스피,코미디|드라마,미국,,
20235923,28230517,3117,사랑은 낙엽을 타고,,아키 카우리스마키,멜로/로맨스,핀란드,,
20235926,506882124,53569,퍼펙트 데이즈,야쿠쇼 코지,빔 벤더스,드라마,일본,,
20235974,55883279972,5804362,인사이드 아웃 2,에이미 포엘러|토니 헤일,켈시 만,애니메이션,미국,,월트 디즈니 픽쳐스|픽사 애니메이션 스튜디오
20235980,868379725,89597,말하고 싶은 비밀,사쿠라다 히요리,,멜로/로맨스,일본,,
20235994,114294700,14179,원정빌라,이현우|문정희|방민아,김선국,공포(호러)|스릴러,한국,,(주)케이드래곤
20236034,291111680,32784,백수아파트,경수진|고규필|이지훈|김주령|최유정,이루다,미스터리|드라마|코미디,한국,,주식회사 빅펀치픽쳐스|(주)노바필름|(주)이오콘텐츠그룹
20236045,495304260,60669,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",,,애니메이션,영국,,
20236080,286201031,31195,류이치 사카모토: 오퍼스,류이치 사카모토,소라 네오,공연|다큐멘터리,일본,,
20236146,7544455301,780869,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,,오네 히토시,애니메이션,일본,,
20236180,25073169564,2588220,웡카,티모시 샬라메|칼라 레인|올리비아 콜맨|톰 데이비스|휴 그랜트,폴 킹,판타지|드라마,미국,,
20236228,304839600,36138,오후 네시,오달수|장영남|김홍파,송정우,드라마,한국,,(주)에이치에스이디
20236230,290240626,31745,씬,김윤혜|송이재|박지훈|이상아|신준철,한동석,공포(호러),한국,,(주)도어이앤엠
20236295,18702665446,1621216,듄: 파트2,티모시 샬라메|젠데이아 콜먼|레베카 퍼거슨|조슈 브롤린|오스틴 버틀러,드니 빌뇌브,액션,미국,,
20236319,36421000,3852,하와이 연가,리처드 용재 오닐|김지연|케올라 비머|이그나스 장|게리 박,이진영,드라마,한국,,나우 프로덕션
20236464,395229088,42215,도그맨,케일럽 랜드리 존스|조조 T. 깁스,뤽 베송,드라마,프랑스,,
20236488,308060744,33938,밥 말리: 원 러브,킹슬리 벤-어디어|라샤냐 린치|제임스 노턴,레이날도 마커스 그린,드라마,미국,,
20236557,243052491,24135,스즈메의 문단속: 다녀왔어,하라 나노카|마츠무라 호쿠토,신카이 마코토,애니메이션,일본,,
20236568,144823705,16460,목스박,오대환|지승현|김정태|이영준|김영훈,고훈,액션|코미디,한국,,스튜디오설 
20236573,753739300,83767,침범,곽선영|권유리|이설|기소유|신동미,이정찬|김여정,미스터리|스릴러,한국,,(주)스튜디오 산타클로스엔터테인먼트
20236614,13124943904,1404570,쿵푸팬더4,잭 블랙|아콰피나|비올라 데이비스|더스틴 호프만|제임스 홍,마이크 미첼|스테파니 스티네,애니메이션|액션|코미디,미국,,
20236653,14986483665,1449920,퓨리오사: 매드맥스 사가,안야 테일러 조이|크리스 헴스워스|톰 버크,조지 밀러,액션,미국,,
20236674,908411978,100788,이프: 상상의 친구,라이언 레이놀즈|케일리 플레밍|존 크래신스키|피오나 쇼|바비 모니한,존 크래신스키,코미디|드라마|가족,미국,,
20236714,2611007725,261502,극장판 스파이 패밀리 코드 : 화이트,에구치 타쿠야|타네자키 아츠미|하야미 사오리,카타기리 타카시,애니메이션,일본,,
20236732,1394795091,139406,가여운 것들,엠마 스톤|마크 러팔로|윌렘 데포,요르고스 란티모스,드라마|코미디|멜로/로맨스,미국,,
20236776,99539504,10346,비욘드 유토피아,,매들린 개빈,다큐멘터리,미국,,
20236907,449736500,19584,지오디 마스터피스 더 무비,박준형|윤계상|데니 안/ 안신원|손호영|김태우,손석,공연,한국,,
20239573,3935927540,399843,서치 2,스톰 리드|켄 렁|다니엘 헤니|니아 롱,니콜라스 D 존슨|윌 메릭,미스터리|스릴러,미국,,
20239574,33360800,3537,세상 참 예쁜 오드리,김정난|박지훈|김보영|김기두|김이경,이영국,가족|드라마,한국,,주식회사 비씨엠|(주)아센디오
20239611,72411533,7283,너의 눈을 들여다보면,키시이 유키노|미우라 토모카즈|미우라 마사키,미야케 쇼,드라마,프랑스,,
20239670,65200886606,6773956,베테랑2,황정민|정해인|장윤주|정만식|신승환,류승완,액션|범죄,한국,,(주)외유내강
20239691,1697772000,77180,방탄소년단: 옛 투 컴 인 시네마,김남준|김석진|민윤기|정호석|박지민,오윤동,공연,한국,,씨제이포디플렉스 주식회사
20239905,70915319,8101,꼬마돼지 베이브의 바다 대모험,,종위,애니메이션|어드벤처|가족,중국,,
20239913,290132400,32590,바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,하성용|정재헌|엄상현|윤승희|김율,,애니메이션|액션|어드벤처,영국,,
2023C685,158119400,21116,플로라 앤 썬,이브 휴슨|잭 레이너|조셉 고든 레빗,존 카니,드라마,미국,,
20240104,51290400,7233,이매지너리 ,드완다 와이즈|파이퍼 브라운|태건 번즈,제프 와드로,공포(호러)|미스터리|스릴러,미국,,
20240125,1275460573,128353,나쁜 녀석들: 라이드 오어 다이,윌 스미스|마틴 로렌스|조 판톨리아노|바네사 허진스|알렉산더 루드윅,아딜 엘 아르비|빌랄 팔라,액션|코미디,미국,,
20240147,521628670,54083,컴플리트 언노운,티모시 샬라메|에드워드 노튼|엘 패닝|모니카 바바로|보이드 홀브룩,제임스 맨골드,드라마,미국,,
20240162,64112650,9411,빼꼼: 미션 투 마스,신정훈|송기원|석승훈|박상우,,애니메이션,중국,,
20240189,160354824,18418,"1초 앞, 1초 뒤",오카다 마사키|키요하라 카야|히이라기 히나타,야마시타 노부히로,멜로/로맨스|판타지,일본,,
20240193,7569599890,767115,무파사: 라이온 킹,켈빈 해리슨 주니어|존 카니|세스 로건|매즈 미켈슨|탠디 뉴튼,배리 젠킨스,애니메이션,미국,,
20240195,1062633900,107277,명탐정 코난 VS 괴도 키드,타카야마 미나미|야마구치 캇페이|야마자키 와카나,,애니메이션,일본,,
20240242,256735500,23907,키타로 탄생 게게게의 수수께끼,사와시로 미유키|노자와 마사코,,애니메이션,일본,,
20240328,204882100,25700,10 라이브즈,,크리스토퍼 젠킨스,애니메이션,영국,,
20240397,86255000,4002,김준수 콘서트 무비 챕터 원 : 레크리에이션,김준수,조윤수,공연,한국,,(주)영화사 그램
