movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,,119.0,2018,20190221,개봉,장편,,,,드라마,미국,요르고스 란티모스,올리비아 콜맨|엠마 스톤|레이첼 와이즈|니콜라스 홀트|마크 게티스,,이십세기폭스코리아(주)|월트디즈니컴퍼니코리아 유한책임회사
20201968,반교: 디텐션,Detention,返校 Detention,102.0,2019,20200813,개봉,장편,,,,공포(호러),기타,존 쉬,왕정|증경화|부맹백,,(주)팝엔터테인먼트
20193743,오션스: 문어구출대작전,Happy Little Submarines 4: Adventure of Octopus,,66.0,2014,20191003,개봉,장편,,,,애니메이션,중국,헤 질리,남도형|김소희|강은애|김경희|민아,,와이드 릴리즈(주)
20193859,사라진 시간,ME AND ME,,104.0,2019,20200618,개봉,장편,,,,미스터리|드라마,한국,정진영,조진웅|배수빈|정해균|차수연|장원영,(주)비에이엔터테인먼트|(주)다니필름,(주)에이스메이커무비웍스
20204162,나이트 헌터,Nomis,,98.0,2018,20200129,개봉,장편,,,,액션|범죄|스릴러|드라마,캐나다,,헨리 카빌|알렉산드라 다드다리오|벤 킹슬리|스탠리 투치,,와이드 릴리즈(주)
20196857,"조금씩, 천천히 안녕",The Long Good-Bye,,127.0,2019,20200527,개봉,장편,,,,가족|드라마,일본,나카노 료타,아오이 유우|다케우치 유코|마츠바라 치에코|야마자키 츠토무,,(주)디스테이션
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,,115.0,2019,20190612,개봉,장편,,,,액션|코미디|SF,미국,F. 게리 그레이,크리스 헴스워스|테사 톰슨|리암 니슨|엠마 톰슨,,롯데컬처웍스(주)롯데엔터테인먼트
20200162,소년시절의 너,Better Days,少年的你,135.0,2019,20200709,개봉,장편,,,,멜로/로맨스|드라마|범죄|가족,중국,증국상,주동우,,(주)바이포엠스튜디오|(주)영화특별시에스엠씨|(주)콘텐츠패밀리
20206441,마이 스파이,My Spy,,100.0,2020,20200429,개봉,장편,,,,액션|코미디,미국,피터 시걸,데이브 바티스타|클로이 콜먼|켄 정|크리스틴 스칼,,(주)이수C&E
20128274,레미제라블,Les Miserables,,158.0,2012,20121219,개봉,장편,,,,드라마,미국,톰 후퍼,휴 잭맨|러셀 크로우|앤 해서웨이|아만다 사이프리드|헬레나 본햄 카터,,유니버설픽쳐스인터내셔널 코리아(유)
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,116.0,2018,20181212,개봉,장편,,,,애니메이션|액션|가족,미국,로드니 로스맨|밥 퍼시케티|피터 램지,샤메익 무어|헤일리 스테인펠드|니콜라스 케이지|제이크 존슨|리브 슈라이버,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20182044,구스 베이비,Duck Duck Goose,,89.0,2018,20190116,개봉,장편,,,,애니메이션|어드벤처|코미디,미국,크리스토퍼 젠킨스,전현무|유아|박성광|짐 개피건|젠데이아 콜먼,,(주)이수C&E
20176442,자전차왕 엄복동,Race to Freedom : Um Bok Dong,,116.0,2018,20190227,개봉,장편,,,,드라마,한국,김유성,정지훈|강소라|이범수|강문봉|이장원,(주)셀트리온엔터테인먼트,(주)셀트리온엔터테인먼트
20184842,아이 캔 온리 이매진,I Can Only Imagine,,110.0,2018,20180621,개봉,장편,,,,드라마|가족,미국,앤드류 어윈|존 어윈,J. 마이클 핀리|데니스 퀘이드|매들린 캐롤|트레이스 에드킨스|클로리스 리치먼,,(주)영화사 그램|TCO(주)더콘텐츠온|(재)CBS
20203237,아무도 없다,ALONE,,97.0,2020,20200909,개봉,장편,,,,스릴러,미국,존 하이암스,줄스 윌콕스|마크 멘차카|안소니 힐드,,판씨네마(주)
20176103,돈,Money,,115.0,2018,20190320,개봉,장편,,,,범죄,한국,박누리,류준열|유지태|조우진|손종학|신재민,(주)사나이픽처스|(주)영화사 월광,(주)쇼박스
20198676,타오르는 여인의 초상,Portrait of a Lady on Fire,,121.0,2019,20200116,개봉,장편,,,,드라마,프랑스,셀린 시아마,아델 에넬|노에미 멜랑,,그린나래미디어(주)|(주)홈초이스
20196161,타발루가와 얼음공주,TABALUGA,,87.0,2018,20200108,개봉,장편,,,,애니메이션|어드벤처|코미디,독일,스벤 운터발트 주니어,김혜성|강은애|임채헌|서반석|박성영,,예지림엔터테인먼트
20194442,플레이모빌: 더 무비,PLAYMOBIL: THE MOVIE,,98.0,2019,20190911,개봉,장편,,,,애니메이션|어드벤처|코미디,캐나다,리노 디살보,다니엘 래드클리프|안야 테일러 조이,,(주)올스타엔터테인먼트
20200845,비바리움,Vivarium,,97.0,2019,20200716,개봉,장편,,,,미스터리|SF|공포(호러),미국|덴마크|벨기에|아일랜드,,제시 아이젠버그|이모겐 푸츠,,(주)드림팩트엔터테인먼트
20196671,쿵푸 보이,Chhota Bheem Kung Fu Dhamaka,,94.0,2019,20191009,개봉,장편,,,,애니메이션,인도,라지브 칠라카|비나약 다스,,,(주)팝엔터테인먼트
20112561,원 데이,One Day,,107.0,2011,20121213,개봉,장편,,,,드라마|멜로/로맨스,미국,론 쉐르픽,앤 해서웨이|짐 스터게스,,(주)영화사 그램|(주)제이앤씨미디어그룹|(주)팝파트너스
20196201,소리꾼,The Singer,,118.0,2020,20200701,개봉,장편,,,,사극|드라마,한국,조정래,이봉근|이유리|김하연|박철민|김동완,주식회사 제이오엔터테인먼트코리아,(주)리틀빅픽쳐스
