rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm_box,openDt_box,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt_detail,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
10,10,4,OLD,20175405,뉴 뮤턴트,2020-09-10,2167900,0.7,-5328650,-71.1,541678310,266,-564,-68.0,61369,117,144,20200921,뉴 뮤턴트,The New Mutants,,93,2020,20200910,개봉,장편,,,,액션|공포(호러)|SF,미국,조쉬 분,메이지 윌리암스|안야 테일러 조이|찰리 히튼|헨리 자가|블루 헌트,,월트디즈니컴퍼니코리아 유한책임회사
1,1,0,OLD,20201122,테넷,2020-08-26,134419260,41.6,-5389750,-3.9,14430161420,14878,-769,-4.9,1566894,986,2406,20200922,테넷,Tenet,,149,2020,20200826,개봉,장편,,,,액션|SF,미국,크리스토퍼 놀란,존 데이비드 워싱턴|로버트 패틴슨|엘리자베스 데비키|애론 테일러 존슨|마이클 케인,,워너브러더스 코리아(주)
2,2,0,OLD,20193822,뮬란,2020-09-17,86204400,26.7,-10770450,-11.1,1530589700,10521,-1352,-11.4,174427,1218,3269,20200922,뮬란,Mulan,,115,2019,20200917,개봉,장편,,,,어드벤처|드라마|가족,미국,니키 카로,유역비|이연걸|공리|견자단|제이슨 스콧 리,,월트디즈니컴퍼니코리아 유한책임회사
3,3,0,OLD,20193666,오! 문희,2020-09-02,30833480,9.5,1740250,6.0,2369357660,4389,209,5.0,293491,489,1061,20200922,오! 문희,Oh! My Gran,,109,2020,20200902,개봉,장편,,,,코미디|드라마,한국,정세교,나문희|이희준|김예은|최원영|박지영,(주)빅스톤픽쳐스,CGV아트하우스
4,4,0,OLD,20201687,기기괴괴 성형수,2020-09-09,14931100,4.6,-863300,-5.5,691321900,1827,-46,-2.5,77632,183,457,20200922,기기괴괴 성형수,Beauty Water,,85,2020,20200909,개봉,장편,,,,공포(호러)|스릴러,한국,조경훈,문남숙|장민혁|조현정|김보영|최승훈,(주)에스에스애니멘트 |(주)스튜디오 애니멀,(주)트리플픽쳐스
5,5,0,NEW,20190621,죽지않는 인간들의 밤,2020-09-29,5131000,1.6,5131000,100.0,7873000,571,571,100.0,877,6,10,20200922,죽지않는 인간들의 밤,Night of the Undead,,110,2019,20200929,개봉,장편,,,,코미디|스릴러,한국,신정원,이정현|김성오|서영희|양동근|이미도,(주)브라더픽쳐스|TCO(주)더콘텐츠온,TCO(주)더콘텐츠온
6,6,0,OLD,20205001,도망친 여자,2020-09-17,4325380,1.3,50920,1.2,44045690,564,26,4.8,5186,124,162,20200922,도망친 여자,The Woman Who Ran,,77,2019,20200917,개봉,장편,,,,드라마,한국,홍상수,김민희|서영화|송선미|김새벽|권해효,(주)영화제작전원사 ,(주)영화제작전원사 |(주)콘텐츠판다
7,7,0,OLD,20197922,다만 악에서 구하소서,2020-08-05,4352780,1.3,282000,6.9,38562037820,536,31,6.1,4351534,118,148,20200922,다만 악에서 구하소서,DELIVER US FROM EVIL,,107,2019,20200805,개봉,장편,,,,범죄|액션,한국,홍원찬,황정민|이정재|박정민|박소이|최희서,(주)하이브미디어코프,(주)씨제이이엔엠
8,8,0,OLD,20202103,비독: 파리의 황제,2020-09-17,4040660,1.3,435860,12.1,39752400,519,48,10.2,4659,165,206,20200922,비독: 파리의 황제,The Emperor of Paris,L'EMPEREUR DE PARIS,120,2018,20200917,개봉,장편,,,,액션|범죄|드라마,프랑스,장-프랑소와 리셰,뱅상 카셀|올가 쿠릴렌코|오거스트 딜|드니 라방,,(주)영화특별시에스엠씨|주식회사 더쿱
9,9,5,OLD,20205386,인디애니페스트2020 릴레이작가 초청전, ,2304000,0.7,1158000,101.0,19200000,384,193,101.0,3200,1,3,20200922,인디애니페스트2020 릴레이작가 초청전,Invitation from Relay Animation Artists,,,2020,,기타,옴니버스,,,,애니메이션,기타,,,,
