movieCd,movieNm_box,openDt_box,movieNm_detail,movieNmEn,movieNmOg,genres,nations,directors,actors,productionCompanies,distributors
20233653,마브카 : 숲의 노래,2023-10-18,마브카 : 숲의 노래,Mavka: The Forest Song,,애니메이션|어드벤처,우크라이나|미국,올레말라므,,,(주)팝엔터테인먼트
20234663,바람 따라 만나리 : 김호중의 계절,2023-10-18,바람 따라 만나리 : 김호중의 계절,,,공연|다큐멘터리,한국,오윤동,김호중,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사|씨지브이 아이스콘
20233178,블루 자이언트,2023-10-18,블루 자이언트,Blue Giant,,애니메이션,일본,타치카와 유즈루,야마다 유키|마미야 쇼타로|오카야마 아마네,,판씨네마(주)
20234853,엑소시스트: 믿는 자,2023-10-18,엑소시스트: 믿는 자,The Exorcist: Believer,,공포(호러),미국,데이빗 고든 그린,엘렌 버스틴|레슬리 오덤 주니어|앤 도드,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20234213,익스펜더블 4,2023-10-18,익스펜더블 4,Expend4bles,,액션,미국,스캇 워프,제이슨 스타뎀|실베스터 스탤론|메간 폭스|50 센트|토니 자,,(주)올스타엔터테인먼트|(주)플레이그램
20234938,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,2023-10-19,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,IDOLiSH7 the Movie; LIVE 4bit BEYOND THE PERiOD - DAY 2,,애니메이션,일본,니시키오리 히로시,오노 켄쇼|하타노 와타루|호시 소이치로,,메가박스중앙(주)
20232894,플라워 킬링 문,2023-10-19,플라워 킬링 문,Killers of the Flower Moon,Killers of the Flower Moon,범죄|드라마,미국,마틴 스코세이지,레오나르도 디카프리오|로버트 드 니로,,롯데컬처웍스(주)롯데엔터테인먼트
20234664,그대들은 어떻게 살 것인가,2023-10-25,그대들은 어떻게 살 것인가,The Boy and the Heron,君たちはどう生きるか,애니메이션,일본,미야자키 하야오,스다 마사키|시바사키 코우|키무라 요시노|기무라 타쿠야|산토키 소마,,메가박스중앙(주)
20235173,더 킬러,2023-10-25,더 킬러,The Killer,,스릴러,미국,데이빗 핀처,마이클 패스벤더|틸다 스윈튼,,씨제이 씨지브이(CJ CGV)(주)
20227676,두 사람을 위한 식탁,2023-10-25,두 사람을 위한 식탁,A Table for Two,,다큐멘터리,한국,김보람,박채영|박상옥,킴프로덕션,필름다빈
20231681,오픈 더 도어,2023-10-25,오픈 더 도어,Open the Door,,미스터리|스릴러,한국,장항준,이순원|서영주|김수진|강애심,㈜컨텐츠랩 비보,(주)콘텐츠판다|(주)비에이엔터테인먼트
20224517,용감한 시민,2023-10-25,용감한 시민,Brave Citizen,,액션|드라마,한국,박진표,신혜선|이준영|박정우|박혁권|차청화,스튜디오엔(주)|볼미디어(주) ,(주)마인드마크
20200622,소년들,2023-11-01,소년들,The Boys,,드라마|범죄,한국,정지영,설경구|유준상|진경|허성태|염혜란,(주)아우라픽처스|(주)씨제이이엔엠,(주)씨제이이엔엠
20234667,키리에의 노래,2023-11-01,키리에의 노래,KYRIE,キリエのうた,드라마,일본,이와이 슌지,,,이화배컴퍼니(주)
20233744,시뮬런트,2023-11-02,시뮬런트,SIMULANT,,SF,미국,,,,(주)영화특별시에스엠씨
20234722,마이 샤이니 월드,2023-11-03,마이 샤이니 월드,MY SHINee WORLD,,공연|다큐멘터리,한국,이후빈,샤이니,메가박스중앙(주) 플러스엠 엔터테인먼트|(주)에스엠엔터테인먼트,메가박스중앙(주)
20235459,테일러 스위프트 디 에라스 투어,2023-11-03,테일러 스위프트 디 에라스 투어,Taylor Swift : The Eras Tour,,공연,미국,,,,씨제이포디플렉스 주식회사
20228210,괴인,2023-11-08,괴인,A Wild Roomer,,드라마,한국,이정홍,박기홍|최경준|이소정|안주민|이기쁨,영화 <괴인> 제작위원회,(주)영화사 진진
20225894,뉴 노멀,2023-11-08,뉴 노멀,NEW NORMAL,,스릴러|드라마|코미디,한국,정범식,최지우|이유미|최민호|표지훈|하다인,언파스튜디오,(주)바이포엠스튜디오
20235034,더 마블스,2023-11-08,더 마블스,The Marvels,,액션|SF,미국,니아 다코스타,브리 라슨|테요나 패리스|이만 벨라니|자웨 애쉬튼|사무엘 L. 잭슨,,월트디즈니컴퍼니코리아 유한책임회사
20217425,더 와일드: 야수들의 전쟁,2023-11-15,더 와일드: 야수들의 전쟁,THE WILD,,액션|범죄,한국,김봉한,박성웅|오대환|오달수|주석태|서지혜,(주)아센디오|(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온|(주)제이앤씨미디어그룹|(주)아센디오
20235631,비투비 타임 : 비투게더 더 무비,2023-11-15,비투비 타임 : 비투게더 더 무비,BE TOGETHER,,공연|다큐멘터리,한국,,,,(주)케이티알파
20235030,프레디의 피자가게,2023-11-15,프레디의 피자가게,Five Nights at Freddy's,,공포(호러)|스릴러,미국,엠마 타미,조쉬 허처슨|엘리자베스 라일|캣 코너 스털링|파이퍼 루비오|메리 스튜어트 매스터슨,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,헝거게임: 노래하는 새와 뱀의 발라드,The Hunger Games: The Ballad of Songbirds and Snakes,,액션|어드벤처|SF|스릴러,미국,프란시스 로렌스,레이첼 지글러|톰 블라이스|헌터 샤퍼|비올라 데이비스|피터 딘클리지,,(주)누리픽쳐스
20230966,사채소년,2023-11-22,사채소년,Usury Academy,,액션|드라마,한국,황동석,유선호|강미나|유인수|이일준|이찬형,(주)26컴퍼니,영화사빅
20212866,서울의 봄,2023-11-22,서울의 봄,12.12: THE DAY,,드라마,한국,김성수,황정민|정우성|이성민|박해준|김성균,(주)하이브미디어코프,메가박스중앙(주) 플러스엠 엔터테인먼트
20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,스노우 폭스: 썰매개가 될 거야!,Arctic Justice,,애니메이션|어드벤처,미국,아론 우들리,제레미 레너|알렉 볼드윈,,(주)팝엔터테인먼트
20234114,괴물,2023-11-29,괴물,Monster,,드라마|미스터리,일본,고레에다 히로카즈,안도 사쿠라|다나카 유코|나가야마 에이타|쿠로카와 소야|히이라기 히나타,,(주)넥스트엔터테인먼트월드(NEW)
20235261,극장판 파워 디지몬 더 비기닝,2023-11-29,극장판 파워 디지몬 더 비기닝,Digimon Adventure 02: The Beginning,,애니메이션,일본,타구치 토모히사,카타야마 후쿠쥬로|오가타 메구미|에노키 준야,,에스엠지홀딩스 주식회사
20202247,싱글 인 서울,2023-11-29,싱글 인 서울,Single in Seoul,,멜로/로맨스|코미디,한국,박범수,이동욱|임수정|이솜|장현성|김지영,(주)디씨지플러스|(주)명필름|(주)인사이트필름,롯데컬처웍스(주)롯데엔터테인먼트
20234798,극장판 우당탕탕 은하안전단: 진정한 용기!,2023-11-30,극장판 우당탕탕 은하안전단: 진정한 용기!,Let's Go! Galaxy Guards The Movie: True Courage!,,애니메이션,한국,정지훈,김은아|엄상현|이지현|이민규|전태열,(주)마로스튜디오,(주)넥스트엔터테인먼트월드(NEW)
20190324,3일의 휴가,2023-12-06,3일의 휴가,Our Season,,판타지|드라마,한국,육상효,김해숙|신민아|강기영|황보라|박명훈,글뫼 주식회사,(주)쇼박스
20235098,나폴레옹,2023-12-06,나폴레옹,Napoleon,,전쟁|드라마,미국,리들리 스콧,호아킨 피닉스|바네사 커비,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20235697,엔시티 네이션 : 투 더 월드 인 시네마,2023-12-06,엔시티 네이션 : 투 더 월드 인 시네마,NCT NATION : To The World in Cinemas,,공연|다큐멘터리,한국,오윤동,,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사
